symbol,date,open,high,low,close,volume,adjusted
SPY,2020-04-09,277.579987,281.200012,275.470001,278.200012,189999200,267.98938
SPY,2020-04-13,277.140015,277.51001,271.410004,275.660004,114839100,265.542633
SPY,2020-04-14,280.980011,284.899994,275.51001,283.790009,134143400,273.374237
SPY,2020-04-15,277.570007,283.940002,275.459991,277.76001,121775000,267.565521
SPY,2020-04-16,279.149994,280.029999,275.76001,279.100006,131798300,268.856323
SPY,2020-04-17,285.380005,287.299988,282.399994,286.640015,146684800,276.119598
SPY,2020-04-20,282.609985,286.790009,281.350006,281.589996,100109300,271.254944
SPY,2020-04-21,276.730011,278.040009,272.019989,273.040009,126385700,263.018829
SPY,2020-04-22,278.350006,281,276.910004,279.100006,92951600,268.856323
SPY,2020-04-23,280.48999,283.940002,278.75,279.079987,104709700,268.837067
SPY,2020-04-24,280.730011,283.700012,278.5,282.970001,85063200,272.58429
SPY,2020-04-27,285.119995,288.269989,284.619995,287.049988,77896600,276.514587
SPY,2020-04-28,291.019989,291.399994,285.399994,285.730011,105270000,275.242981
SPY,2020-04-29,291.529999,294.880005,290.410004,293.209991,118745600,282.448486
SPY,2020-04-30,291.709991,293.320007,288.589996,290.480011,122901700,279.818665
SPY,2020-05-01,285.309998,290.660004,281.519989,282.790009,125180000,272.41095
SPY,2020-05-04,280.73999,283.899994,279.130005,283.570007,80873200,273.162323
SPY,2020-05-05,286.640015,289.25,283.709991,286.190002,79569900,275.686157
SPY,2020-05-06,288.040009,288.459991,283.779999,284.25,73632600,273.817352
SPY,2020-05-07,287.75,289.779999,287.130005,287.679993,75250400,277.12146
SPY,2020-05-08,291.089996,292.950012,289.859985,292.440002,76452400,281.706757
SPY,2020-05-11,290.339996,294,289.880005,292.5,79514200,281.764557
SPY,2020-05-12,293.790009,294.23999,286.519989,286.670013,95870800,276.148529
SPY,2020-05-13,286.059998,287.190002,278.959991,281.600006,144721100,271.264587
SPY,2020-05-14,278.950012,285.109985,272.98999,284.970001,121977900,274.510895
SPY,2020-05-15,282.369995,286.329987,281.339996,286.279999,111146300,275.772827
SPY,2020-05-18,293.049988,296.75,292.700012,295,119703800,284.172791
SPY,2020-05-19,294.350006,296.209991,291.950012,291.970001,95189300,281.254028
